cpa_id,cluster
323418,1
323420,1
323435,1
323442,1
392429,1
392430,1
392431,1
392432,1
392438,1
392439,1
392440,1
392441,1
392442,1
392507,1
392508,1
392509,1
392510,1
392512,1
392513,1
392514,1
392515,1
392523,1
392524,1
392538,1
392539,1
392540,1
392541,1
392556,1
392557,1
392628,1
392629,1
392630,1
392631,1
392632,1
392633,1
392634,1
392635,1
392636,1
392637,1
392638,1
392639,1
392640,1
392641,1
392642,1
392643,1
392644,1
392645,1
392646,1
392648,1
392649,1
392650,1
392651,1
392652,1
392653,1
392656,1
392657,1
392658,1
392707,1
392708,1
392709,1
392710,1
392711,1
392745,1
392746,1
392747,1
392755,1
392756,1
392757,1
392767,1
392768,1
392867,1
392868,1
392869,1
392870,1
392871,1
392872,1
392873,1
392874,1
392875,1
392876,1
392877,1
392878,1
392879,1
392880,1
392881,1
392882,1
392883,1
392884,1
392885,1
392886,1
392887,1
392888,1
392889,1
392890,1
392891,1
393042,1
393043,1
393044,1
393047,1
393048,1
393052,1
393053,1
393057,1
393058,1
393061,1
393062,1
393076,1
393077,1
393078,1
393263,1
393362,1
393451,1
393452,1
393453,1
393454,1
393457,1
393458,1
393459,1
393460,1
393461,1
393462,1
393463,1
393464,1
393465,1
393466,1
393467,1
393468,1
393489,1
395892,1
395916,1
395917,1
395918,1
395919,1
395941,1
395942,1
395943,1
395944,1
395965,1
395966,1
395967,1
396061,1
396063,1
396064,1
396082,1
396083,1
396084,1
396085,1
396086,1
396087,1
396088,1
396089,1
396090,1
396091,1
396102,1
396103,1
396104,1
396105,1
396106,1
396107,1
396108,1
396109,1
396110,1
396112,1
396113,1
396114,1
396115,1
396116,1
396117,1
396118,1
396119,1
396120,1
396121,1
396122,1
396123,1
396124,1
396125,1
396126,1
396127,1
396128,1
396129,1
396130,1
396131,1
396133,1
396134,1
396135,1
396136,1
396137,1
396138,1
396139,1
396140,1
396141,1
396142,1
396143,1
396144,1
396145,1
396146,1
396147,1
396148,1
396149,1
396152,1
396153,1
396154,1
396155,1
396156,1
396157,1
396158,1
396159,1
396160,1
396161,1
396162,1
396163,1
396164,1
396165,1
396166,1
396167,1
396168,1
396169,1
396170,1
396171,1
396172,1
396173,1
396174,1
396175,1
396176,1
396177,1
396178,1
396179,1
396180,1
396181,1
396182,1
396183,1
396184,1
396185,1
396186,1
396187,1
396188,1
396189,1
396190,1
396191,1
396192,1
396193,1
396194,1
396195,1
396196,1
396197,1
396198,1
396199,1
396200,1
396201,1
396202,1
396203,1
396204,1
396205,1
396206,1
396207,1
396208,1
396209,1
396530,1
396538,1
396541,1
396542,1
396545,1
396549,1
392433,2
392434,2
392435,2
392436,2
392437,2
392521,2
392522,2
392537,2
392555,2
392574,2
392575,2
392647,2
392654,2
392655,2
392659,2
392660,2
392661,2
392744,2
392754,2
392786,2
392787,2
392803,2
392804,2
392805,2
392819,2
392820,2
392821,2
392822,2
392832,2
392833,2
392834,2
392838,2
393322,2
393333,2
393334,2
393335,2
393345,2
393352,2
393353,2
393354,2
393360,2
393361,2
393420,2
393429,2
393430,2
393437,2
393438,2
393442,2
393443,2
393444,2
393445,2
393446,2
393447,2
393448,2
393449,2
393450,2
393455,2
393456,2
393488,2
393660,2
393661,2
393662,2
393665,2
393666,2
393668,2
393669,2
393670,2
393673,2
393674,2
393675,2
393676,2
393678,2
393679,2
393680,2
393681,2
393682,2
393683,2
393684,2
393685,2
393686,2
393687,2
393688,2
393689,2
393690,2
393691,2
393692,2
393693,2
393694,2
393695,2
393696,2
393697,2
395831,2
395850,2
395852,2
395853,2
395870,2
395872,2
395873,2
395874,2
395875,2
395877,2
395890,2
395891,2
395894,2
395895,2
395896,2
395897,2
395898,2
395899,2
395900,2
395914,2
395915,2
395920,2
395921,2
395922,2
395923,2
395924,2
395925,2
395939,2
395940,2
395945,2
395946,2
395947,2
395948,2
395949,2
395950,2
395951,2
395955,2
395963,2
395964,2
395968,2
395969,2
395970,2
395971,2
395972,2
395973,2
395974,2
395975,2
395976,2
395977,2
395978,2
395979,2
395980,2
395981,2
395986,2
395987,2
395988,2
395989,2
395990,2
395991,2
395992,2
395993,2
395994,2
395995,2
395996,2
395997,2
395998,2
395999,2
396000,2
396001,2
396002,2
396003,2
396004,2
396005,2
396006,2
396007,2
396008,2
396009,2
396010,2
396011,2
396012,2
396013,2
396014,2
396015,2
396016,2
396017,2
396018,2
396019,2
396020,2
396021,2
396022,2
396023,2
396024,2
396025,2
396026,2
396027,2
396028,2
396029,2
396030,2
396031,2
396032,2
396033,2
396034,2
396035,2
396036,2
396037,2
396038,2
396039,2
396040,2
396041,2
396042,2
396043,2
396044,2
396045,2
396046,2
396047,2
396048,2
396049,2
396050,2
396051,2
396052,2
396053,2
396054,2
396055,2
396056,2
396057,2
396058,2
396059,2
396060,2
396065,2
396066,2
396067,2
396068,2
396069,2
396070,2
396071,2
396072,2
396073,2
396074,2
396075,2
396076,2
396077,2
396078,2
396079,2
396080,2
396081,2
396092,2
396093,2
396094,2
396095,2
396096,2
396097,2
396098,2
396099,2
396100,2
396101,2
396111,2
396132,2
396150,2
396151,2
396747,2
396764,2
396765,2
396779,2
396780,2
396781,2
396782,2
396793,2
323520,3
323565,3
393487,3
393532,3
393533,3
393534,3
393535,3
394027,3
395779,3
395780,3
395781,3
395782,3
395783,3
395786,3
395787,3
395788,3
395793,3
395794,3
395795,3
395796,3
395797,3
395798,3
395799,3
395807,3
395808,3
395809,3
395810,3
395811,3
395812,3
395813,3
395822,3
395823,3
395824,3
395825,3
395826,3
395827,3
395828,3
395838,3
395839,3
395840,3
395841,3
395842,3
395843,3
395844,3
395845,3
395846,3
395857,3
395858,3
395859,3
395860,3
395861,3
395862,3
395863,3
395864,3
395865,3
395866,3
395867,3
395868,3
395869,3
395880,3
395881,3
395882,3
395883,3
395884,3
395885,3
395886,3
395887,3
395888,3
395889,3
395893,3
395904,3
395905,3
395906,3
395907,3
395908,3
395909,3
395910,3
395911,3
395912,3
395913,3
395935,3
395936,3
395937,3
395938,3
395958,3
395959,3
395960,3
395961,3
395962,3
395982,3
395983,3
395984,3
395985,3
396406,3
396412,3
396413,3
396414,3
396421,3
396422,3
396423,3
396432,3
396433,3
396440,3
396441,3
396442,3
396450,3
396451,3
396459,3
396655,3
396668,3
396680,3
396684,3
396699,3
396700,3
396715,3
396716,3
396731,3
396732,3
396748,3
396750,3
396751,3
396766,3
396768,3
398208,3
398220,3
399926,3
399971,3
399972,3
400009,3
400010,3
400011,3
400044,3
400045,3
400046,3
400047,3
400048,3
400049,3
400050,3
400062,3
400063,3
400064,3
400075,3
400076,3
400077,3
400078,3
400079,3
400080,3
400088,3
400089,3
400090,3
400098,3
400099,3
400100,3
400101,3
400102,3
400104,3
400105,3
400106,3
400108,3
400114,3
402269,3
402278,3
395784,4
395785,4
395789,4
395790,4
395791,4
395792,4
395800,4
395801,4
395802,4
395803,4
395804,4
395805,4
395806,4
395814,4
395815,4
395816,4
395817,4
395818,4
395819,4
395820,4
395821,4
395829,4
395830,4
395832,4
395833,4
395834,4
395835,4
395836,4
395837,4
395847,4
395848,4
395849,4
395851,4
395854,4
395855,4
395856,4
395871,4
395876,4
395878,4
395879,4
395901,4
395902,4
395903,4
395926,4
395927,4
395928,4
395929,4
395930,4
395931,4
395932,4
395933,4
395934,4
395952,4
395953,4
395954,4
395956,4
395957,4
396685,4
396701,4
396717,4
396718,4
396733,4
396734,4
396752,4
399921,4
399922,4
399961,4
399962,4
399963,4
399964,4
399965,4
399966,4
399967,4
399968,4
399969,4
399970,4
399998,4
399999,4
400000,4
400001,4
400002,4
400003,4
400004,4
400005,4
400006,4
400007,4
400008,4
400033,4
400034,4
400035,4
400036,4
400037,4
400038,4
400039,4
400040,4
400041,4
400042,4
400043,4
400065,4
400066,4
400067,4
400068,4
400069,4
400070,4
400071,4
400072,4
400073,4
400074,4
400091,4
400092,4
400093,4
400094,4
400095,4
400096,4
400097,4
400107,4
400109,4
400110,4
400111,4
400112,4
400113,4
400117,4
400118,4
400119,4
400120,4
400121,4
400122,4
400124,4
400125,4
401643,4
401644,4
402255,4
402266,4
402267,4
402268,4
402275,4
402276,4
402277,4
402282,4
402283,4
323669,5
397979,5
397982,5
398113,5
398114,5
398115,5
398116,5
398117,5
398118,5
398119,5
398120,5
398134,5
398135,5
398136,5
398167,5
398209,5
398230,5
398231,5
398239,5
398966,5
398967,5
398968,5
398988,5
398989,5
398990,5
398992,5
399022,5
399023,5
399054,5
399055,5
399095,5
399136,5
399137,5
399183,5
399278,5
399318,5
399319,5
399320,5
399364,5
399365,5
399366,5
399367,5
399368,5
399369,5
399422,5
399423,5
399424,5
399425,5
399426,5
399427,5
399428,5
399476,5
399477,5
399478,5
399479,5
399480,5
399481,5
399527,5
399528,5
399529,5
399582,5
399583,5
399584,5
399636,5
399637,5
399638,5
399835,5
399836,5
399837,5
399838,5
399839,5
399841,5
399842,5
399884,5
399885,5
399886,5
399887,5
399888,5
399889,5
399890,5
399927,5
399928,5
399929,5
399930,5
399931,5
399932,5
399933,5
399973,5
399974,5
400012,5
400013,5
400014,5
400081,5
400103,5
401654,5
401691,5
402233,5
402234,5
402235,5
402236,5
402237,5
402245,5
402246,5
402247,5
402248,5
402249,5
402250,5
402256,5
402257,5
402258,5
402259,5
402260,5
402261,5
402270,5
402271,5
402272,5
402279,5
402280,5
402281,5
402284,5
398196,6
398197,6
398198,6
398199,6
398200,6
398205,6
398206,6
398207,6
398217,6
398218,6
398219,6
398229,6
398238,6
398369,6
399530,6
399531,6
399532,6
399581,6
399585,6
399586,6
399587,6
399588,6
399634,6
399635,6
399639,6
399640,6
399641,6
399642,6
399690,6
399691,6
399692,6
399693,6
399694,6
399695,6
399696,6
399697,6
399698,6
399699,6
399740,6
399741,6
399743,6
399744,6
399746,6
399747,6
399748,6
399749,6
399750,6
399751,6
399752,6
399753,6
399789,6
399790,6
399791,6
399792,6
399793,6
399794,6
399795,6
399796,6
399797,6
399798,6
399799,6
399800,6
399801,6
399833,6
399834,6
399843,6
399844,6
399845,6
399846,6
399880,6
399881,6
399882,6
399883,6
399891,6
399892,6
399893,6
399894,6
399923,6
399924,6
399925,6
399934,6
399935,6
399936,6
399937,6
399975,6
399976,6
400189,6
400198,6
401625,6
401633,6
401634,6
401635,6
401645,6
401653,6
401673,6
402212,6
402213,6
402223,6
402224,6
402225,6
402229,6
402230,6
402231,6
402232,6
402241,6
402242,6
402243,6
402244,6
402252,6
402253,6
402254,6
402262,6
402263,6
402264,6
402265,6
402273,6
402274,6
